V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,PROLIFIC_PID,Q1,for,hyu,bmw,sub,jee,toy,che,hon,aud,mer,tes,dod,lex,por,vol,fer,nis,maz,lam,ren,vol,id,age,gender,edu,inc,LocationLatitude,LocationLongitude,LocationAccuracy,
R_1OZVMot9paPfbGL,Default Response Set,Anonymous,,,76.230.233.122,0,2020-12-16 18:02:32,2020-12-16 18:03:23,1,5f4851504372911fdb3aea92,1,all american,,,,dirt roads,"super reliable, holds value",reliable,"reliable, goes forever",high end,moniessssss,,trucks,,,,mid life crisis,,small cars,,,,5f4851504372911fdb3aea92,28,2,5,3,25.763397216797,-80.188598632812,-1,
R_3L4HdwGhSfIOqXw,Default Response Set,Anonymous,,,174.203.138.42,0,2020-12-16 18:02:56,2020-12-16 18:04:35,1,5f487a6ee83b1e3353269f34,1,,,Audi,Mazda,,,Ford,,,,Brilliance,GMC,Audi,Audi,BMW,,,,Ferrari ,Aston marton ,,5f487a6ee83b1e3353269f34,31,1,5,6,40.441299438477,-79.253303527832,-1,
R_2PvQQeckHt3huij,Default Response Set,Anonymous,,,136.34.219.92,0,2020-12-16 18:03:21,2020-12-16 18:05:04,1,5ec5a8255300035f2e32cea8,1,family car,economy car,high end car,,sporty car,,,,highend car,,,,luxury car,,family car,luxury car,,economy car,luxury car,,,5ec5a8255300035f2e32cea8,50,2,3,11,38.959197998047,-94.596099853516,-1,
R_1qWWQJDNen3BkSi,Default Response Set,Anonymous,,,73.242.93.196,0,2020-12-16 18:03:14,2020-12-16 18:05:28,1,5fbad07db1a235b50e6d7790,1,,Honda,,Toyota,Hummer,,Ford,Hyundai,,,BMW,,,,,,Infinity,,Ferrari,Volkswagon,Land Rover,5fbad07db1a235b50e6d7790,27,1,3,5,44.982498168945,-93.186302185059,-1,
R_RDNMVclxzBXY001,Default Response Set,Anonymous,,,73.119.0.195,0,2020-12-16 18:04:35,2020-12-16 18:05:58,1,5f971190627469082db533dc,1,,i dont know,,chevy,hummer,,subaru,,,ferrari,,jeep,,,,porche,,corolla,,i dont know,ford,5f971190627469082db533dc,20,2,2,7,42.414993286133,-71.052696228027,-1,
R_XRL7MNFy0niHVrr,Default Response Set,Anonymous,,,75.72.193.45,0,2020-12-16 18:04:14,2020-12-16 18:06:01,1,5f3443738edc4a3323f9790a,1,,,Mercedes,Volvo,a Land Cruiser,Honda,,,,,,GMC,,VW,,Lambo,,Nissan,Ferrari,Opal,,5f3443738edc4a3323f9790a,52,2,,5,44.940200805664,-93.218803405762,-1,
R_1FteaP0qspXB52P,Default Response Set,Anonymous,,,70.175.32.168,0,2020-12-16 18:04:09,2020-12-16 18:06:47,1,5e3a1f1580af1024ad25be3f,1,,Suzuki,Corvette,,Pt cruiser,,,Toyota,,Bmw ,Prius,,,,Jeep,,,Mitsubishi ,Corvette ,Jaguar,,5e3a1f1580af1024ad25be3f,25,1,3,7,36.115005493164,-115.21649932861,-1,
R_2bZb0B5mIEd0D2W,Default Response Set,Anonymous,,,208.114.92.148,0,2020-12-16 18:05:56,2020-12-16 18:06:56,1,57717b08cef15b00013794fd,1,,,Mercedes,Jeep,Ford,Honda,Ford,,,BMW,,,,Audi,Volvo,,,Honda,,,Volkswagon,57717b08cef15b00013794fd,28,1,4,7,34.928802490234,-95.75959777832,-1,
R_ewFMwM9LAu5PdjH,Default Response Set,Anonymous,,,45.31.61.97,0,2020-12-16 18:05:37,2020-12-16 18:07:02,1,5fd1a05efb204f1ad9f6e025,1,Toyota,,Mercedes,,,,,Toyota,BMW,,,Ford,Honda,Corvette,,Lamborghini,Hyundai,,,,Volkswagen,5fd1a05efb204f1ad9f6e025,22,1,5,1,33.567901611328,-117.70460510254,-1,
R_1CJ6yFo5BzDsQnH,Default Response Set,Anonymous,,,104.186.255.94,0,2020-12-16 18:05:52,2020-12-16 18:07:11,1,5820ab7820c34d0001e6dff2,1,gmc,kia,lexus,mitsubishi,,honda,gmc,,,,,,acura,bmw,volvo,,,,,,audi,5820ab7820c34d0001e6dff2,29,1,5,6,37.926895141602,-122.33129882812,-1,
R_10Nn0IUPCl9aTiO,Default Response Set,Anonymous,,,174.62.232.42,0,2020-12-16 18:05:27,2020-12-16 18:07:21,1,5c2919f010677f0001dc08ac,1,antisemetic,,european cars,outdoors,jeeps,,midwest,small cars,,,,,,sports,,,,,fast cars,fancy cars,odd cars,5c2919f010677f0001dc08ac,33,2,3,12,42.251800537109,-71.080497741699,-1,
R_1QxR8gdWYCSGzAa,Default Response Set,Anonymous,,,136.36.156.227,0,2020-12-16 18:06:47,2020-12-16 18:07:47,1,5e7d4e38fe45a9000970d978,1,,Kia,,Kia,,,,,BMW,BMW,Mercedes,Chevrolet,,Mercedes,,Lamborghini,,Subaru,,Fiat,,5e7d4e38fe45a9000970d978,28,1,5,11,40.698196411133,-111.84100341797,-1,
R_2qxtE5BsXFVuTKZ,Default Response Set,Anonymous,,,72.203.157.187,0,2020-12-16 18:06:23,2020-12-16 18:07:53,1,5fc44d9fa1e4b08878873a50,1,,,,,Ford,Honda,GMC,Toyota,BMW,BMW,,Ford,,,,Masarati,,Kia,,,BMW,5fc44d9fa1e4b08878873a50,26,2,5,4,30.404205322266,-91.143096923828,-1,
R_3fiptmrHExGDexs,Default Response Set,Anonymous,,,73.56.61.253,0,2020-12-16 18:05:22,2020-12-16 18:08:08,1,5fd3db1bc9868a0e2a4970e6,1,Dodge,,,,Land Rover,,Ford,Toyota,,,,Ford,Lincoln,,Mini,,Mazda,,Ferrari,,Volkswagen,5fd3db1bc9868a0e2a4970e6,30,1,3,12,26.125,-80.266998291016,-1,
R_AHfusd2EVcjUwnL,Default Response Set,Anonymous,,,24.100.93.249,0,2020-12-16 18:06:44,2020-12-16 18:08:15,1,5f8d586ae802ef02fe954ed3,1,Chevrolet,Daewoo,Audi,Mazda,Dodge,Honda,,,BMW,,,,Acura,,,,Toyota,Subaru,,,,5f8d586ae802ef02fe954ed3,27,1,5,1,36.731399536133,-88.650100708008,-1,
R_29bIRez3bmvTDhb,Default Response Set,Anonymous,,,74.124.167.129,0,2020-12-16 18:05:21,2020-12-16 18:08:18,1,5c794b8a50ee2e00120bc923,1,general motors,toyota,,,subaru,honda,ford,,volvo,,toyota prius,,,,fiat,,,honda,porsche,,,5c794b8a50ee2e00120bc923,32,2,6,10,36.032196044922,-79.85880279541,-1,
R_ZEjhPLTFgHwKZjP,Default Response Set,Anonymous,,,99.41.250.119,0,2020-12-16 18:07:49,2020-12-16 18:08:43,1,5a9771d6873cda0001dc955e,1,Chevy,Toyota,,,,Hyundai,GMC,,Volvo,,Lucid,,BMW,,,,Infinity,Honda,Ferrari,,,5a9771d6873cda0001dc955e,33,1,5,12,33.197601318359,-96.617797851562,-1,
R_1gCKy9Xjv3qFxAq,Default Response Set,Anonymous,,,69.180.87.203,0,2020-12-16 18:06:33,2020-12-16 18:08:47,1,55b90235fdf99b26070d7663,1,Chevrolet,Kia,,,4 Runner,Honda,,Toyota,,,Prius,,,Mercedes,,,Subaru,,Jaguar,,Volkswagen,55b90235fdf99b26070d7663,40,2,6,9,30.160995483398,-81.731101989746,-1,
R_2D6WCY0XcBTUkkw,Default Response Set,Anonymous,,,74.71.238.247,0,2020-12-16 18:07:39,2020-12-16 18:08:51,1,5fc31dfb68060b4e7a8cebae,1,,Honda,Audi,,,Ford,,Hyundai,,,BMW,Ford,,,Honda,Porsche,Hyundai,,,no clue what Renault is,,5fc31dfb68060b4e7a8cebae,29,2,5,12,40.800003051758,-73.976303100586,-1,
R_1hFGd9CWAgqYcGv,Default Response Set,Anonymous,,,69.207.160.230,0,2020-12-16 18:07:20,2020-12-16 18:08:52,1,5ed87555b3221a1aeb5654be,1,GMC,Honda,,Honda,,,Chrysler,Hyundai,,Porsche,,,,Mercedes Benz,Ford,Lamborghini ,,,,I’m not familiar with this brand. ,,5ed87555b3221a1aeb5654be,20,3,3,6,42.985992431641,-77.413902282715,-1,
R_1Q9PktmLvY8pjKO,Default Response Set,Anonymous,,,50.82.82.57,0,2020-12-16 18:07:13,2020-12-16 18:09:04,1,5a2047dc772bc40001ba082f,1,,,,Fiat,,Lexus,Gmc,,,BMW,,Chevy,,,,Lamborghini,Toyota,Kia,Maseradi,,Suburu,5a2047dc772bc40001ba082f,60,2,6,2,41.62890625,-93.72550201416,-1,
R_42YXgUHjllokdpL,Default Response Set,Anonymous,,,99.99.20.137,0,2020-12-16 18:07:06,2020-12-16 18:09:23,1,5f98c3f8f2d9be1e75e21709,1,Chevy,,A Mercedes,4 wheel drive,4wd,Honda,,Toyota,Luxury car,,,Race car,,,Subaru,,,Nissan,,,,5f98c3f8f2d9be1e75e21709,45,1,5,5,28.578796386719,-81.439598083496,-1,
R_1MNapuAZGYakQEP,Default Response Set,Anonymous,,,63.229.188.104,0,2020-12-16 18:06:46,2020-12-16 18:10:17,1,5a9cc4c66475f90001a001fd,1,,,a somewhat affordable luxury car.,,a dream car.,,,a Volvo.,a BMW.,,,Ford.,,a Mustang.,a Subaru ,a Mustang.,,,,I can't think of anything it's similar to.,a Honda.,5a9cc4c66475f90001a001fd,27,2,4,4,42.471801757812,-96.35489654541,-1,
R_2rx2zQVa0cBzARd,Default Response Set,Anonymous,,,136.55.168.177,0,2020-12-16 18:09:04,2020-12-16 18:11:05,1,5fd93c727734cf40b71ce6ca,1,Chevy,,,Toyota,,Lexus,,,Mercedes/BMW,,Mercedes,Chrysler,,Lamborghini,Audi,,,,Ferrari,Ford,,5fd93c727734cf40b71ce6ca,24,1,5,6,33.801895141602,-84.386100769043,-1,
R_2znGs3R1EBwugrL,Default Response Set,Anonymous,,,172.58.27.13,0,2020-12-16 18:09:45,2020-12-16 18:11:15,1,5be74b8dd153f500019a6ace,1,,,Mercedes,,,,Buick,,,BMW,Google,Chrysler,,,,Porsche,Kia,Nissan,,Daimler,Subaru,5be74b8dd153f500019a6ace,42,2,6,11,34.077194213867,-117.45059967041,-1,
R_1CCQNhPm32sHJLR,Default Response Set,Anonymous,,,174.250.18.7,0,2020-12-16 18:08:40,2020-12-16 18:11:23,1,55ae28eafdf99b3087df18bc,1,,Nissan,Cadillac,,nothing,,,,Mercedes,Lexus,Chevy Spark,,,Mercedes,,,Hyundai,,,nothing (I don't know this brand),Toyota,55ae28eafdf99b3087df18bc,25,2,5,2,37.751007080078,-97.821998596191,-1,
R_1FsQJpybkswIlJn,Default Response Set,Anonymous,,,70.112.41.177,0,2020-12-16 18:10:29,2020-12-16 18:11:42,1,5f4894c330f69f35f4c4c353,1,America,,,,Outdoors,Texas,The South,Japan,,,,Construction,the rich,the famous,Hippies,Italy,,,,,,5f4894c330f69f35f4c4c353,27,2,5,2,30.182601928711,-97.739402770996,-1,
R_3rIBK1bD32FVW2U,Default Response Set,Anonymous,,,74.79.42.60,0,2020-12-16 18:10:22,2020-12-16 18:12:03,1,5678620289319e0011651232,1,,,,honda,suv,,,,sedan,,electric car,,bmw,jaguar,buggy,porsche,ford,subaru,,,,5678620289319e0011651232,30,2,5,7,43.084197998047,-75.228698730469,-1,
R_R4FpaNO5OeSC3kt,Default Response Set,Anonymous,,,50.236.125.18,0,2020-12-16 18:10:48,2020-12-16 18:12:04,1,5fadc5e7fa83951cff539de8,1,Chevy,,,Volvo,Ford,Honda,,Toyota,,,,Ram,,Lamborghini,Volvo,,Hyundai,,,,Subaru,5fadc5e7fa83951cff539de8,23,2,5,4,41.793792724609,-72.858100891113,-1,
R_2SjGCFL7bJobr33,Default Response Set,Anonymous,,,71.143.197.141,0,2020-12-16 18:11:26,2020-12-16 18:12:06,1,5f4d74d575a8ad03d0519b1b,1,,,,a car,,,a car,a car,a car,a car,,,a car,,a car,,a car,,a car,a car,,5f4d74d575a8ad03d0519b1b,21,2,3,6,37.720092773438,-122.44139862061,-1,
R_2ypHmnpxzMHxz1C,Default Response Set,Anonymous,,,73.135.35.96,0,2020-12-16 18:10:22,2020-12-16 18:12:11,1,5f2a13417b4ac51dc95d38c1,1,American,Japanese,,Japanese,American,,,Japanese,German,cars,,,,German,German,,Japanese,,,,,5f2a13417b4ac51dc95d38c1,20,1,3,8,38.980102539062,-76.742500305176,-1,
R_2ds754O56gXhHrD,Default Response Set,Anonymous,,,73.251.219.248,0,2020-12-16 18:09:12,2020-12-16 18:12:12,1,5ed03124543bc60ffc3c541f,1,,an SUV.,a luxury.,something versatile that fits a lot of needs.,,an average car most people would have.,,a car most people have.,,,,a truck or SUV.,,a luxury.,a small car.,,,,,I'm not familiar with this type of car.,a small car.,5ed03124543bc60ffc3c541f,25,1,2,3,39.182098388672,-77.53589630127,-1,
R_6KfEvKkhs42JBcZ,Default Response Set,Anonymous,,,73.21.178.31,0,2020-12-16 18:10:47,2020-12-16 18:12:23,1,5b4653a7a47aa0000133219e,1,a sedan,a sedan,,,,,a sedan,,a sports car,a high end sedan,an electric car,,a sports car,an expensive sports car,,,a sedan,,,,a sedan,5b4653a7a47aa0000133219e,42,1,5,5,28.892807006836,-81.785202026367,-1,
R_1Fl9mUwfJulPeCn,Default Response Set,Anonymous,,,207.98.193.10,0,2020-12-16 18:10:59,2020-12-16 18:12:57,1,5ee7eb4dc382f80d37c0d48c,1,chevy,,mercedes,nissan,,,ford,,mazerati,bmw,,chevy,,,,,subaru,,a Jag,fiat,,5ee7eb4dc382f80d37c0d48c,61,2,3,3,36.049896240234,-83.922798156738,-1,
R_1feCN4cjYijhc2z,Default Response Set,Anonymous,,,50.5.164.217,0,2020-12-16 18:09:36,2020-12-16 18:13:08,1,5de76eb75fb5c86d599eef3c,1,,,A higher-end dining experience.,a fast-casual restaurant,,fast-food,a higher-end restaurant,fast-food,,a high-end meal,A fancy dining experience,a higher-end restaurant,,,,,,,,an extremely fancy dining experience,a fast-casual restaurant,5de76eb75fb5c86d599eef3c,32,1,6,8,39.152603149414,-84.386901855469,-1,
R_1jTJYzaBAtJ3Xlc,Default Response Set,Anonymous,,,66.24.78.88,0,2020-12-16 18:12:06,2020-12-16 18:13:36,1,59339542bef6820001ab9ec5,1,"poor quality car, American aesthetic",,,,,,"70s era, they make decent trucks","great quality, hold value, few issues",,,,trucks,"good quality, luxury",middle age crisis,faking environmental output info,racing,transmission issues,,new money rich,,,59339542bef6820001ab9ec5,21,1,5,4,42.147094726562,-75.88159942627,-1,
R_2aEN7XUavMhN6MP,Default Response Set,Anonymous,,,100.12.208.31,0,2020-12-16 18:11:41,2020-12-16 18:13:58,1,5fd7b5d928a07504481c35f1,1,,Honda,,Volvo,,,,,Porsche,,,Mustang,Buick,,,Lamborghini,Toyota,,Ferrari,honda,Subaru,5fd7b5d928a07504481c35f1,18,1,2,2,40.736404418945,-73.869499206543,-1,
R_2xW4jsKc11xueUH,Default Response Set,Anonymous,,,69.209.127.127,0,2020-12-16 18:11:02,2020-12-16 18:14:04,1,5ea90125117dae3737b5e552,1,,,,Jeep,Hummer,Mazda,Ford,,BMW,,Mercedes,Ford,,,,,Toyota,Toyota,Porsche,,,5ea90125117dae3737b5e552,29,1,5,11,30.442092895508,-97.633903503418,-1,
R_bPFnHUnpYpcpJCN,Default Response Set,Anonymous,,,174.87.197.178,0,2020-12-16 18:13:01,2020-12-16 18:14:09,1,5f938db0effbc116fca10dc9,1,Truck,Car,SUV ,,,Car,Truck,Car,,,,Truck,,Sports car,,Car,,,,Not sure what this is,,5f938db0effbc116fca10dc9,33,2,4,11,38.917007446289,-119.98649597168,-1,
R_5bDTbchQ5eQsJ7H,Default Response Set,Anonymous,,,73.111.116.66,0,2020-12-16 18:12:46,2020-12-16 18:14:25,1,5e6bba5459a3bd17473d4d6a,1,beat up car.,japanese car.,over priced car.,,beat up car.,,beat up car.,,,over priced car.,,beat up car.,japanese car.,,over priced and expensive to repair.,,,,,hard to get parts.,,5e6bba5459a3bd17473d4d6a,37,1,5,11,42.36669921875,-88.092498779297,-1,
R_25SGhwKSf0g0p4v,Default Response Set,Anonymous,,,75.176.149.129,0,2020-12-16 18:13:13,2020-12-16 18:14:29,1,5e5d41f55b2b6e02899a1b90,1,Common,,Expensive ,,Common,Common,,Common,,,Expensive ,,,,,Really Expensive ,Common ,,,Car,Budget ,5e5d41f55b2b6e02899a1b90,22,1,4,1,33.88200378418,-80.403999328613,-1,
R_2ALqWI63FHgNvXW,Default Response Set,Anonymous,,,174.105.175.216,0,2020-12-16 18:11:38,2020-12-16 18:14:33,1,5f7f37338339640810b1514e,1,,,,a suped up high schooler's car,,Honda,,,,,Prius,Ford,,Lexus,Beetle,Italian sports cars,,,Maserti,Unknown,first car made with seat belts,5f7f37338339640810b1514e,26,2,3,6,40.386901855469,-82.490097045898,-1,
R_1hGe2C7aUtNcVz7,Default Response Set,Anonymous,,,104.2.85.231,0,2020-12-16 18:13:47,2020-12-16 18:14:41,1,5ba869c2e4d9160001f01fe8,1,,honda,mercedes,,,honda,,,bmw,bmw,bmw,ford,,,prius,,,sedan,ferrari,,,5ba869c2e4d9160001f01fe8,22,3,5,1,33.028701782227,-117.08459472656,-1,
R_Qiw35vZ6Cj3OsGl,Default Response Set,Anonymous,,,67.160.220.146,0,2020-12-16 18:13:23,2020-12-16 18:14:49,1,5f1dd98561978006fc1a1b64,1,basic,,,outdoorsy,,reliable,,,,,exciting,,,,European,luxury,standard,sporty,,pretentious,posh,5f1dd98561978006fc1a1b64,27,1,6,8,37.720092773438,-121.91899871826,-1,
R_3mkFuf50lskIROL,Default Response Set,Anonymous,,,50.74.150.86,0,2020-12-16 18:13:17,2020-12-16 18:14:54,1,5632e23b2840d2000522e9de,1,,,Lexus,Audi,,,Volkswagon,Hyundai,BMW,,Lexus,Volvo,BMW,Ferrari,,,Honda,,,,,5632e23b2840d2000522e9de,40,2,5,11,40.715698242188,-74,-1,
R_38bE9i35hTOhjDX,Default Response Set,Anonymous,,,50.107.177.177,0,2020-12-16 18:12:09,2020-12-16 18:15:13,1,5f80fc92d6cb831ad3aabbc4,1,,Toyota,,Ford,Subaru,Chevy,,,,,,,,GTX,,Porsche,Toyota,Pontiac,Porsche,Mercedes,,5f80fc92d6cb831ad3aabbc4,51,2,4,5,41.483306884766,-75.717102050781,-1,
R_O6IowPoyt0NrAqt,Default Response Set,Anonymous,,,136.55.149.235,0,2020-12-16 18:08:56,2020-12-16 18:15:17,1,5b7ca5e38a78ff000189cf02,1,,,Porsche,Acura,,,,Dodge,,,,Ford,Mercedes,BMW,,Lamborghini,Mazda,Nissian,,,Kia,5b7ca5e38a78ff000189cf02,29,2,5,3,33.970703125,-84.324699401855,-1,
R_rcoOlimuLms9qLL,Default Response Set,Anonymous,,,73.171.167.142,0,2020-12-16 18:13:42,2020-12-16 18:15:35,1,5d8a1d20d1afcb0019d7390b,1,Old and reliable, a Toyota,a rich persons car,,,,,,,A BMW,," a Ford, old and reliable",a car for rich people,A race car,,,every day car,A Honda,,A French car,,5d8a1d20d1afcb0019d7390b,70,1,6,7,30.122299194336,-81.362701416016,-1,
R_3n33DeMxtVIPxTh,Default Response Set,Anonymous,,,71.187.44.121,0,2020-12-16 18:12:39,2020-12-16 18:15:46,1,5da7825f634607001172ca6a,1,,,,,Ford,Honda,Ford,,Mercedes Benz,,Hyundai,,Audi,Rolls royce,Fiat,Bmw,,,,Mini cooper,,5da7825f634607001172ca6a,23,1,5,10,40.818496704102,-74.158897399902,-1,
R_1LLuDxAR15MLpKI,Default Response Set,Anonymous,,,174.250.212.46,0,2020-12-16 18:12:22,2020-12-16 18:16:02,1,5f97429ef27b680ebd959e38,1,,,Lincoln,Malibu,Dodge,,Ford,Polaris,Lincoln,,,Ford,Tesla,,,,,,Bugatti ,,Volkswagen,5f97429ef27b680ebd959e38,24,2,1,2,37.636505126953,-93.609100341797,-1,
R_1FEUDSVWCxM2yds,Default Response Set,Anonymous,,,73.175.124.51,0,2020-12-16 18:14:38,2020-12-16 18:16:13,1,5c56687227d2cd0001966c15,1,Chevy,,Lexus,,,Honda,Ford,,,BMW,,,,Lamborgini,Honda,,,Toyota,Porshe,Toyota,,5c56687227d2cd0001966c15,39,1,1,3,40.322601318359,-76.404197692871,-1,
R_1r6qEZwZEKp0UjD,Default Response Set,Anonymous,,,128.195.97.217,0,2020-12-16 18:15:22,2020-12-16 18:16:31,1,5db92470f3f143000b80f218,1,,a safe van,,,a truck ,a dependable car,,,,luxury like Porsche ,the future,,a cigarette ,luxury ,,fast,a van,fast ,,,,5db92470f3f143000b80f218,19,1,2,2,33.645904541016,-117.84300231934,-1,
R_brQ16pVvZewsVPj,Default Response Set,Anonymous,,,73.184.255.162,0,2020-12-16 18:15:29,2020-12-16 18:17:19,1,5f17171844388e0271203821,1,,Toyota,,,,,gmc ,,,BMW,,Ford,Cadillac ,Bugatti ,,Lamborghini,Honda,Mitsubishi ,Ferrari ,,,5f17171844388e0271203821,,2,2,7,34.078201293945,-84.648498535156,-1,
R_24AC5v55InbK8HQ,Default Response Set,Anonymous,,,68.45.44.26,0,2020-12-16 18:15:26,2020-12-16 18:17:20,1,5f41ae5ddb53f915ed43e2e1,1,,,Mercedes benz,,,,,Hyundai,Volvo,,,,,Maserati,Nissan,Lamberguini,Hyundai,Mistubishi,Porche,,Nissan,5f41ae5ddb53f915ed43e2e1,31,1,3,3,39.139694213867,-86.514099121094,-1,
R_1o0V51QEb3lFny1,Default Response Set,Anonymous,,,172.58.97.146,0,2020-12-16 18:10:28,2020-12-16 18:17:24,1,5ed87dc418022738e63dbc67,1,,,mid-tier luxury ,mom car ,,rental car,rental car,,,luxury,eco-friendly,,,super luxurious ,,,college student’s first car,average 9-5 car,,something i’ve never heard of,,5ed87dc418022738e63dbc67,19,2,3,1,30.29719543457,-97.639099121094,-1,
R_25TI1Qk68qZZESh,Default Response Set,Anonymous,,,97.95.167.85,0,2020-12-16 18:16:35,2020-12-16 18:17:25,1,5aad5907c4e8f200014b359a,1,chevy,toyota,lexus,honda,nothing,,,ford,,lexus,,ford,bmw,,,,toyota,,,,,5aad5907c4e8f200014b359a,30,2,5,3,43.638107299805,-84.202903747559,-1,
R_1F4k3HN646etKeg,Default Response Set,Anonymous,,,66.66.198.200,0,2020-12-16 18:16:05,2020-12-16 18:17:25,1,5ac488e168b65b00018d4e48,1,Chevrolet,Mazda,,,,,Ford,,,BMW,,GMC,,,Volvo,,,Hyundai,Ferrari,Chrysler,Volkswagen,5ac488e168b65b00018d4e48,46,1,3,2,43.018798828125,-76.165000915527,-1,
R_3EhZSKz7s5IQ57i,Default Response Set,Anonymous,,,73.240.61.252,0,2020-12-16 18:13:58,2020-12-16 18:17:39,1,5ea99d51550e790d442d0fdb,1,GMC,,,,,,Toyota,,Mercedes,Lexus,Tesla,Chevy,,Miata,Volvo,,,Honda,,,Voltswagon,5ea99d51550e790d442d0fdb,37,1,3,6,44.01969909668,-123.10079956055,-1,
R_2v2L8JasMtI92YS,Default Response Set,Anonymous,,,174.110.211.121,0,2020-12-16 18:15:20,2020-12-16 18:17:42,1,5c1cef3f99de680001e27679,1,,,,Australia,,Safe,,Accord,,,Electric,Charger,,911,Foreign,,,Broke,"Ballin""",Huh,,5c1cef3f99de680001e27679,40,1,3,4,35.059692382812,-79.005798339844,-1,
R_3QPf0gdAq2kkt7J,Default Response Set,Anonymous,,,99.145.191.102,0,2020-12-16 18:16:40,2020-12-16 18:17:43,1,5f9310b5c848c0098b27db59,1,,Kia,,Audi,Chrysler ,,GMC ,,Bmw,,Future ,Jeep,,,,,,Nissan,,Renault,Audi,5f9310b5c848c0098b27db59,28,1,4,5,39.865493774414,-86.122001647949,-1,
R_3pmdiWQOAw84e5H,Default Response Set,Anonymous,,,174.197.14.87,0,2020-12-16 18:15:53,2020-12-16 18:17:56,1,5e9e0798c8df731ba79182f1,1,,,,Amazon.,,Montessori.,John Deere.,Mazda.,,,Dom perignon.,,Nordstrom.,Louis vuitton.,,,,Honda.,,Not sure.,Walmart.,5e9e0798c8df731ba79182f1,31,2,3,4,30.182601928711,-97.739402770996,-1,
R_3CO3INur9Rzb5Zv,Default Response Set,Anonymous,,,65.24.248.27,0,2020-12-16 18:15:53,2020-12-16 18:18:07,1,5e5b489b2ced423345c3c8d2,1,American car,Kia,fancy German car,,Truck,,,basic Japanese car,,,,Chrysler,,,German car,Italian car,Honda,,Ferrari,,,5e5b489b2ced423345c3c8d2,35,2,3,8,39.988098144531,-83.047897338867,-1,
R_2bQqwLojKKfZ6vE,Default Response Set,Anonymous,,,24.18.153.117,0,2020-12-16 18:17:36,2020-12-16 18:18:12,1,5b48f2d0ff7497000125165e,1,Chevy,,,Mitsubishi,,,Dodge,Acura,BMW,,,,Toyota,,Porsche,Lamborghini,,Acura,,,Saab,5b48f2d0ff7497000125165e,30,1,5,3,47.323593139648,-122.31869506836,-1,
R_3nCA9JQkfv8DIN9,Default Response Set,Anonymous,,,24.125.24.149,0,2020-12-16 18:16:55,2020-12-16 18:18:27,1,5fd429b5b082151948c7c9d4,1,,Honda,Buick,Nissan,,,,Kia,Volvo,,,Chevrolet,,,,Porsche,,,Ferrari ,Porchse,Volkswagen,5fd429b5b082151948c7c9d4,28,2,4,3,33.940200805664,-84.539497375488,-1,
R_2rNJSHoXOSkFZav,Default Response Set,Anonymous,,,73.19.89.225,0,2020-12-16 18:13:26,2020-12-16 18:18:41,1,5eaf523a430942645c75e936,1,Chevy,Kia,Mercedes-Benz,Toyota,Dodge,,,,BMW,BMW,Jaguar,,Infiniti,,,,,Honda,,,,5eaf523a430942645c75e936,25,2,3,5,47.587097167969,-122.03880310059,-1,
R_2wad3bhaYklVP6k,Default Response Set,Anonymous,,,100.6.8.167,0,2020-12-16 18:13:54,2020-12-16 18:18:43,1,5f07d9e7f9c9c70009417112,1,Cord,Sundae,IBM,,,Toy yoda,Valet,Fonda,,,Tulsa,Lodge,Nexus ,,,,,,,,Vulva,5f07d9e7f9c9c70009417112,49,1,3,5,40.376693725586,-79.81120300293,-1,
R_31ym8hXPZ9RjZCL,Default Response Set,Anonymous,,,24.216.170.219,0,2020-12-16 18:17:08,2020-12-16 18:18:48,1,5f34951706067d3b4486d740,1,,,,Forester,Wranger,,GMC,,Don’t know ,,Don’t know,,Don’t know,Corvette,Beetle,,Altima,,,Don’t know,,5f34951706067d3b4486d740,28,1,7,12,38.811996459961,-89.962699890137,-1,
R_3JrOGdpCAqBCuBe,Default Response Set,Anonymous,,,64.39.196.113,0,2020-12-16 18:15:13,2020-12-16 18:18:53,1,5e8e4fc4bb7e470d85c008e5,1,Chevy ,Kia,Mercedes ,,Trucks,Honda,,Toyota ,,bmw ,,,,,,,Acura ,Toyota ,Porsche ,,,5e8e4fc4bb7e470d85c008e5,41,1,5,11,37.868392944336,-97.659103393555,-1,
R_0BOcCF3qdrYIa8p,Default Response Set,Anonymous,,,66.68.179.33,0,2020-12-16 18:16:33,2020-12-16 18:18:54,1,5d11103148ddca000180b737,1,truck,sonnata,,outback,grand cherokee,,,,,,,,,911,bug,corvette,,,buggati,laguna,v60,5d11103148ddca000180b737,24,1,3,3,29.87370300293,-97.936096191406,-1,
R_2sbVQQPn6QDt7r1,Default Response Set,Anonymous,,,173.26.39.232,0,2020-12-16 18:17:31,2020-12-16 18:19:06,1,5c31b889da51990001e4f604,1,,,,,Rugged,Honda,needy,Toyota,New,,Expensive,,,too ugly,,Ugly,USEFUL,,Stupid,,,5c31b889da51990001e4f604,21,2,3,4,31.510498046875,-84.308700561523,-1,
R_xz5UOPUvIgf5eAV,Default Response Set,Anonymous,,,107.184.34.37,0,2020-12-16 18:15:58,2020-12-16 18:19:29,1,5f1f899fbfbf3a1a7a81803f,1,,,Mercedes ,Ford,Toyota,Honda,Ford,,Lexus,BMV,,,Mercedes ,,,,,Nissan ,Maserati ,,,5f1f899fbfbf3a1a7a81803f,18,2,3,8,34.169006347656,-118.37129974365,-1,
